latency,time,GPU1,GPU2,GPU3,GPU4,latency_sub,time_sub,fps,time_rel,,,,
17.125,10495.0898,14.1582,12.5215,12.9903,14.0908,16.3164,20539.6543,61.28802922,3110.3672,,,,
17.8497,10512.9395,13.8203,12.5977,12.9462,13.9638,16.5293,20556.1836,60.49862971,3126.8965,,,,
17.1347,10530.0742,13.6933,13.0801,12.9794,13.9961,16.7402,20572.9238,59.73644281,3143.6367,,,,
16.6865,10546.7607,13.7236,12.5166,12.9921,13.915,16.6758,20589.5996,59.96713801,3160.3125,,,,
16.9571,10563.7178,13.3086,13.1787,12.9541,13.8896,16.6699,20606.2695,59.98836226,3176.9824,,,,
17.0869,10580.8047,13.5098,12.458,12.9883,13.9385,17.1192,20623.3887,58.41394458,3194.1016,,,,
17.1767,10597.9814,13.6855,12.5068,12.8897,14.0986,16.2168,20639.6055,61.66444675,3210.3184,,,,
17.9385,10615.9199,13.5694,12.457,13.0342,14.0889,16.4121,20656.0176,60.93065482,3226.7305,,,,
17.0528,10632.9727,13.333,12.5088,12.9248,13.917,16.4453,20672.4629,60.80764717,3243.1758,,,,
17.0918,10650.0645,13.7705,12.4834,12.8437,14.1201,16.2598,20688.7227,61.50137148,3259.4356,,,,
17.0771,10667.1416,13.8887,12.5293,13.0147,14.1114,16.748,20705.4707,59.70862192,3276.1836,,,,
17.1045,10684.2461,13.3515,12.5498,12.792,13.8584,17.4219,20722.8926,57.39902077,3293.6055,,,,
17.04,10701.2861,13.7178,12.4659,12.8106,13.9922,16.5605,20739.4531,60.38465022,3310.166,,,,
18.1514,10719.4375,13.8828,12.4931,13.0488,14.2998,16.5899,20756.043,60.2776388,3326.7559,,,,
16.7881,10736.2256,13.3965,12.4834,13.1348,13.9365,17.0175,20773.0605,58.76303805,3343.7734,,,,
17.0098,10753.2354,14.0147,12.4736,12.8662,14.1972,16.92,20789.9805,59.10165485,3360.6934,,,,
16.4101,10769.6455,13.7949,12.4297,12.9444,13.9414,16.8222,20806.8027,59.44525686,3377.5156,,,,
16.9092,10786.5547,13.7198,12.4707,12.9434,14.0371,17.8262,20824.6289,56.09720524,3395.3418,,,,
16.8047,10803.3594,13.3476,12.5235,12.9267,13.9453,16.9941,20841.623,58.84395172,3412.3359,,,,
