latency,time,GPU1,GPU2,GPU3,GPU4,latency_sub,time_sub,fps,time_rel,,,,
16.6045,8303.4668,13.2676,12.4804,12.8545,14.0732,16.2949,16424.4707,61.36889456,1650.5645,,,,
16.3301,8319.7969,13.3174,12.5244,12.9053,13.917,16.2949,16440.7656,61.36889456,1666.8594,,,,
16.5088,8336.3057,13.4815,12.5078,13.0107,13.9248,17.5293,16458.2949,57.04734359,1684.3887,,,,
17.3554,8353.6611,13.8115,12.666,13.0449,14.1406,16.3223,16474.6172,61.26587552,1700.711,,,,
16.6748,8370.3359,13.4482,12.5284,12.8515,13.9619,16.3887,16491.0059,61.01765241,1717.0997,,,,
16.5215,8386.8574,13.8487,12.4971,13.0019,14.0791,16.2402,16507.2461,61.57559636,1733.3399,,,,
17.1123,8403.9697,13.7978,12.5303,12.9033,14.0263,16.3633,16523.6094,61.11236731,1749.7032,,,,
16.4326,8420.4023,13.7491,12.4951,12.917,14.042,16.3418,16539.9512,61.19276946,1766.045,,,,
16.3975,8436.7998,13.2861,12.5762,13.1279,13.9512,17.1953,16557.1465,58.15542619,1783.2403,,,,
17.4141,8454.2139,14.6407,12.7812,13.0781,14.1748,16.4355,16573.582,60.84390496,1799.6758,,,,
16.54,8470.7539,13.3584,12.5674,12.9952,14.1777,16.3067,16589.8887,61.32448625,1815.9825,,,,
16.3711,8487.125,13.334,12.5411,12.9541,13.9287,16.4707,16606.3594,60.71387373,1832.4532,,,,
16.5361,8503.6611,13.8974,12.5068,12.9863,13.9941,16.4316,16622.791,60.85834611,1848.8848,,,,
16.8955,8520.5566,13.5068,12.5615,12.8643,14.4287,16.3164,16639.1074,61.28802922,1865.2012,,,,
17.5508,8538.1074,13.6934,12.4698,13.1494,15.0234,17.1094,16656.2168,58.44740318,1882.3106,,,,
17.2158,8555.3232,13.5449,12.5352,12.9532,14.0147,16.5742,16672.791,60.33473712,1898.8848,,,,
16.4395,8571.7627,14.1816,12.5479,13.0547,14.0732,16.7149,16689.5059,59.82686106,1915.5997,,,,
16.4336,8588.1963,13.8516,13.0732,13.1709,13.9541,16.4179,16705.9238,60.90912967,1932.0176,,,,
16.5029,8604.6992,13.3926,12.58,13.1445,13.9629,16.8047,16722.7285,59.50716169,1948.8223,,,,
16.4492,8621.1484,13.5811,12.667,13.1182,13.9775,16.8047,16739.5332,59.50716169,1965.627,,,,
16.6709,8637.8193,13.9854,12.5489,12.9502,14.2022,17.4492,16756.9824,57.30921761,1983.0762,,,,
17.4366,8655.2559,13.4287,12.5088,13.1377,14.0049,16.7578,16773.7402,59.67370419,1999.834,,,,
16.5019,8671.7578,13.6943,12.5762,12.917,14.0683,16.6289,16790.3691,60.13626879,2016.4629,,,,
16.4063,8688.1641,13.8057,12.5117,12.8282,13.9512,16.7637,16807.1328,59.65270197,2033.2266,,,,
16.5459,8704.71,14.0479,12.5469,13.0147,14.0215,16.6231,16823.7559,60.15725105,2049.8497,,,,
16.5576,8721.2676,13.6543,12.5664,13.1533,14.1211,16.5371,16840.293,60.47009451,2066.3868,,,,
16.625,8737.8926,14.2031,12.4766,12.9111,14.0567,17.2168,16857.5098,58.08280284,2083.6036,,,,
17.541,8755.4336,13.7217,12.5967,12.9853,14.3369,16.2793,16873.7891,61.42770267,2099.8829,,,,
16.3633,8771.7969,13.9219,12.4483,13.1602,14.0059,16.7168,16890.5059,59.82006126,2116.5997,,,,
16.5713,8788.3682,13.5596,13.3965,12.8526,14.0224,16.2988,16906.8047,61.35421013,2132.8985,,,,
16.4404,8804.8086,13.294,12.4981,12.8691,13.9385,16.2988,16923.1035,61.35421013,2149.1973,,,,
16.4873,8821.2959,13.5391,12.6602,12.8282,13.9804,16.5801,16939.6836,60.31326711,2165.7774,,,,
16.4219,8837.7178,13.9971,12.5381,13.0459,13.9296,17.8789,16957.5625,55.93185263,2183.6563,,,,
17.3301,8855.0479,13.7002,12.5459,12.9239,14.1524,16.5391,16974.1016,60.46278213,2200.1954,,,,
17.0029,8872.0508,13.8379,12.5684,12.8125,13.9121,16.3769,16990.4785,61.06161728,2216.5723,,,,
16.8437,8888.8945,14.1494,12.5215,12.8388,14.0205,16.1934,17006.6719,61.75355392,2232.7657,,,,
16.7315,8905.626,13.3379,12.542,13.0234,13.9219,16.332,17023.0039,61.22948812,2249.0977,,,,
17.5635,8923.1895,13.4561,12.584,13.208,13.9795,16.8203,17039.8242,59.45197172,2265.918,,,,
17.2246,8940.4141,13.4336,12.5547,12.9854,14.3643,17.0742,17056.8984,58.56789776,2282.9922,,,,
18.0771,8958.4912,13.2803,12.9316,13.0811,14.128,16.295,17073.1934,61.36851795,2299.2872,,,,
16.5967,8975.0879,13.3174,12.4834,12.96,13.9668,16.3574,17089.5508,61.13441011,2315.6446,,,,
16.7676,8991.8555,13.5625,12.4912,13.2197,14.0039,16.3144,17105.8652,61.29554259,2331.959,,,,
16.5849,9008.4404,13.293,12.5478,13.086,14.0283,16.25,17122.1152,61.53846154,2348.209,,,,
17.2725,9025.7129,13.2441,12.4912,12.8877,14.0352,16.2813,17138.3965,61.42015687,2364.4903,,,,
17.9277,9043.6406,13.7012,12.5273,12.8086,14.415,16.8515,17155.248,59.34189835,2381.3418,,,,
17.3711,9061.0117,13.8506,12.4971,12.7969,14.0068,16.3653,17171.6133,61.10489878,2397.7071,,,,
16.3867,9077.3984,13.5253,12.4746,12.9785,13.9814,16.3789,17187.9922,61.05416115,2414.086,,,,
16.8291,9094.2275,14.125,12.5693,12.8506,14.0195,16.6387,17204.6309,60.10084923,2430.7247,,,,
16.6914,9110.9189,13.7607,12.5908,12.9746,14.0048,16.4511,17221.082,60.78620882,2447.1758,,,,
16.4434,9127.3623,13.6777,12.5371,13.0401,13.9815,16.2735,17237.3555,61.44959597,2463.4493,,,,
16.5088,9143.8711,13.9258,12.4941,12.8135,14.0576,17.4257,17254.7812,57.38650384,2480.875,,,,
17.2656,9161.1367,14.1338,12.5537,12.9082,13.9599,16.3145,17271.0957,61.29516688,2497.1895,,,,
16.5821,9177.7188,13.6416,12.5722,12.8447,14.0791,16.4727,17287.5684,60.70650227,2513.6622,,,,
16.7978,9194.5166,13.8252,12.5801,13.2803,14.2246,16.3359,17303.9043,61.21487032,2529.9981,,,,
16.4443,9210.9609,13.8711,12.5176,12.7402,13.9951,16.1621,17320.0664,61.87314767,2546.1602,,,,
16.4629,9227.4238,13.5879,12.8037,13.1464,14.0157,17.168,17337.2344,58.24790308,2563.3282,,,,
16.7012,9244.125,14.2109,12.5508,12.7901,14.2373,17.4238,17354.6582,57.39276162,2580.752,,,,
17.8516,9261.9766,14.4775,12.5527,12.8838,14.3682,16.5215,17371.1797,60.52719184,2597.2735,,,,
16.3994,9278.376,13.4424,12.5811,13.1543,13.9834,16.4414,17387.6211,60.82207111,2613.7149,,,,
16.6328,9295.0088,13.5244,12.8007,12.8223,14.1602,16.5586,17404.1797,60.391579,2630.2735,,,,
16.4199,9311.4287,13.5068,12.5371,12.8427,13.9697,16.5215,17420.7012,60.52719184,2646.795,,,,
16.3828,9327.8115,14.3847,12.5351,13.002,14.0156,16.5097,17437.2109,60.57045252,2663.3047,,,,
17.1641,9344.9756,13.3681,12.4795,12.9668,14.1221,17.25,17454.4609,57.97101449,2680.5547,,,,
17.331,9362.3066,13.2851,12.5029,12.8134,14.081,16.1602,17470.6211,61.88042227,2696.7149,,,,
16.128,9378.4346,13.4229,12.4414,13.1533,13.9014,16.4629,17487.084,60.74263951,2713.1778,,,,
16.1513,9394.5859,14.1006,12.4795,12.9698,13.9161,16.459,17503.543,60.75703263,2729.6368,,,,
16.3848,9410.9707,13.334,12.6416,12.9482,14.0068,16.7304,17520.2734,59.77143404,2746.3672,,,,
16.5762,9427.5469,14.0283,12.4775,12.8096,14.2745,16.8887,17537.1621,59.21118855,2763.2559,,,,
