latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel,,,,
28.7735,11214.5049,26.1074,26.6328,30.1152,33.20582297,20720.2949,5997.9492,,,,
28.8232,11243.3281,26.2822,26.6504,29.0801,34.38777721,20749.375,6027.0293,,,,
29.7862,11273.1143,26.2265,26.8985,29.2129,34.23145254,20778.5879,6056.2422,,,,
28.7324,11301.8467,26.0088,26.71,30.0703,33.25540483,20808.6582,6086.3125,,,,
29.7793,11331.626,25.918,27.3672,29.0117,34.46885222,20837.6699,6115.3242,,,,
30.8691,11362.4951,26.7764,27.4375,28.9805,34.5059609,20866.6504,6144.3047,,,,
29.085,11391.5801,26.2031,27.0488,29.5762,33.81096963,20896.2266,6173.8809,,,,
29.2178,11420.7979,25.9932,27.0332,28.7089,34.83240389,20924.9355,6202.5898,,,,
30.7529,11451.5508,25.9775,27.2334,29.3223,34.10373675,20954.2578,6231.9121,,,,
28.6465,11480.1973,26.1689,26.6542,29.9551,33.383297,20984.2129,6261.8672,,,,
29.0722,11509.2695,26.333,26.6045,29.2226,34.22008993,21013.4355,6291.0898,,,,
30.3721,11539.6416,26.1377,26.6289,29.2793,34.15382198,21042.7148,6320.3691,,,,
28.4951,11568.1367,26.4844,26.4707,29.627,33.75299558,21072.3418,6349.9961,,,,
28.7442,11596.8809,26.0136,26.6807,29.0937,34.37170246,21101.4355,6379.0898,,,,
30.1816,11627.0625,26.0371,27.1494,28.9375,34.55723542,21130.373,6408.0273,,,,
29.5264,11656.5889,26.4893,27.5362,29.711,33.6575679,21160.084,6437.7383,,,,
30.0742,11686.6631,25.8945,27.085,29.0527,34.42020879,21189.1367,6466.791,,,,
30.2764,11716.9395,25.8818,27.1435,28.9356,34.55950455,21218.0723,6495.7266,,,,
29.3271,11746.2666,26.2295,27.1299,29.8828,33.46406629,21247.9551,6525.6094,,,,
28.8584,11775.125,25.9883,26.623,29.2597,34.17670038,21277.2148,6554.8691,,,,
29.8057,11804.9307,26.3243,27.0186,29.084,34.383166,21306.2988,6583.9531,,,,
29.125,11834.0557,26.2207,26.9952,29.8457,33.50566413,21336.1445,6613.7988,,,,
29.6045,11863.6602,26.2539,27.1982,29.0586,34.41322018,21365.2031,6642.8574,,,,
30.4277,11894.0879,26.497,27.1601,29.002,34.48038066,21394.2051,6671.8594,,,,
28.9629,11923.0508,26.3545,26.8945,30.0019,33.33122236,21424.207,6701.8613,,,,
29.1084,11952.1592,26.4375,26.8936,29.1856,34.2634724,21453.3926,6731.0469,,,,
29.5146,11981.6738,26.0303,26.7158,29.1054,34.35788548,21482.498,6760.1523,,,,
28.8223,12010.4961,26.0518,26.7158,29.711,33.6575679,21512.209,6789.8633,,,,
29.1601,12039.6562,26.0322,26.5859,29.2051,34.24059496,21541.4141,6819.0684,,,,
30.0157,12069.6719,26.2852,26.958,29.2988,34.13109069,21570.7129,6848.3672,,,,
29.3135,12098.9854,26.0264,27.3301,29.4512,33.95447384,21600.1641,6877.8184,,,,
29.2744,12128.2598,26.0957,27.1582,29.1562,34.29802238,21629.3203,6906.9746,,,,
29.6699,12157.9297,25.8985,26.8486,29.0606,34.41085181,21658.3809,6936.0352,,,,
29.1406,12187.0703,26.1885,27.1152,29.9843,33.35078691,21688.3652,6966.0195,,,,
29.2373,12216.3076,26.0508,26.7696,29.2442,34.1948147,21717.6094,6995.2637,,,,
29.8467,12246.1543,25.9746,26.625,29.2734,34.16070562,21746.8828,7024.5371,,,,
28.7686,12274.9229,26.0908,26.8027,29.5723,33.81542863,21776.4551,7054.1094,,,,
29.208,12304.1309,26.1885,27.1446,28.9023,34.59932255,21805.3574,7083.0117,,,,
30.2158,12334.3467,26.292,27.4345,29.3379,34.08560258,21834.6953,7112.3496,,,,
29.0928,12363.4395,26.1895,27.1221,30.1953,33.11773687,21864.8906,7142.5449,,,,
29.5312,12392.9707,26.2012,27.0957,29.1992,34.24751363,21894.0898,7171.7441,,,,
30.4717,12423.4424,26.2568,27.0977,29.334,34.09013432,21923.4238,7201.0781,,,,
29.2041,12452.6465,26.2071,26.9111,29.7696,33.59131463,21953.1934,7230.8477,,,,
28.8105,12481.457,26.1934,26.7041,28.625,34.93449782,21981.8184,7259.4727,,,,
30.1651,12511.6221,26.1914,27.2559,29.1054,34.35788548,22010.9238,7288.5781,,,,
29.4736,12541.0957,26.2441,27.2871,30.7051,32.5678796,22041.6289,7319.2832,,,,
29.6455,12570.7412,26.5576,27.1279,28.9258,34.57121324,22070.5547,7348.209,,,,
30.125,12600.8662,26.1543,26.9208,29.0058,34.47586345,22099.5605,7377.2148,,,,
29.1553,12630.0215,26.2022,27.1113,30.2969,33.00667725,22129.8574,7407.5117,,,,
29.0517,12659.0732,26.6709,26.9785,29.2422,34.19715343,22159.0996,7436.7539,,,,
29.8672,12688.9404,26.2207,26.6904,29.1309,34.32780999,22188.2305,7465.8848,,,,
29.0166,12717.957,26.2452,27.0625,30.416,32.87743293,22218.6465,7496.3008,,,,
29.7627,12747.7197,26.2813,27.1933,28.9512,34.54088259,22247.5977,7525.252,,,,
30.1729,12777.8926,26.1806,26.9561,29.2382,34.20183185,22276.8359,7554.4902,,,,
29.2148,12807.1074,26.3867,26.9892,30.2325,33.07698669,22307.0684,7584.7227,,,,
29.2676,12836.375,26.0263,27.0352,29.0332,34.44332695,22336.1016,7613.7559,,,,
29.8828,12866.2578,26.125,26.959,29.0488,34.42482994,22365.1504,7642.8047,,,,
28.6084,12894.8662,26.1465,26.5547,29.7051,33.66425294,22394.8555,7672.5098,,,,
28.9902,12923.8564,26.2177,26.5166,29.1191,34.34172073,22423.9746,7701.6289,,,,
29.9092,12953.7656,25.9804,26.7256,29.2305,34.21084142,22453.2051,7730.8594,,,,
28.7198,12982.4854,26.2002,26.7559,30.0761,33.24899172,22483.2812,7760.9355,,,,
29.1972,13011.6826,26.5429,27.0986,29.3536,34.06737163,22512.6348,7790.2891,,,,
30.4082,13042.0908,26.1953,27.4043,29.1172,34.34396164,22541.752,7819.4063,,,,
29.5772,13071.668,26.4199,27.2158,29.5937,33.79097578,22571.3457,7849,,,,
29.5205,13101.1885,26.1083,27.0625,29.3711,34.04707348,22600.7168,7878.3711,,,,
29.9883,13131.1768,25.9746,26.8711,29.3066,34.12200665,22630.0234,7907.6777,,,,
29.1796,13160.3564,26.0967,27.042,29.8106,33.54511482,22659.834,7937.4883,,,,
28.8155,13189.1719,26.2471,26.6533,28.918,34.58053807,22688.752,7966.4063,,,,
29.7158,13218.8877,25.8223,26.8536,29.1875,34.26124197,22717.9395,7995.5938,,,,
28.9404,13247.8281,26.1563,26.6475,30.0488,33.27919917,22747.9883,8025.6426,,,,
29.3887,13277.2168,26.3369,26.9112,29.2129,34.23145254,22777.2012,8054.8555,,,,
