latency,time,GPU1,GPU2,latency_sub,fps,time_sub,time_rel
28.6426,8286.6885,26.2539,26.6475,29.0371,34.43870083,22067.5391,3894.5411
28.9189,8315.6074,26.0605,26.6885,29.1035,34.36012851,22096.6426,3923.6446
29.8194,8345.4268,26.2207,26.6631,29.916,33.42692873,22126.5586,3953.5606
28.5644,8373.9912,26.2021,26.5538,29.3008,34.12876099,22155.8594,3982.8614
29.1572,8403.1484,25.8204,27.1074,29.4336,33.97477713,22185.293,4012.295
29.7168,8432.8652,26.166,26.8017,30.4043,32.89008463,22215.6973,4042.6993
28.8047,8461.6699,25.9033,26.7363,28.83,34.68609088,22244.5273,4071.5293
28.7744,8490.4443,26.0117,26.7061,29.2207,34.222315,22273.748,4100.75
29.9034,8520.3477,26.1582,26.5879,29.6739,33.69964851,22303.4219,4130.4239
28.7939,8549.1416,25.9755,26.752,28.8496,34.66252565,22332.2715,4159.2735
28.709,8577.8506,25.9141,26.6104,29.2578,34.17891981,22361.5293,4188.5313
29.7197,8607.5703,26.2304,26.7881,29.8223,33.53195428,22391.3516,4218.3536
29.334,8636.9043,25.9385,27.2383,29.4804,33.92084232,22420.832,4247.834
29.6133,8666.5176,26.1377,27.2255,29.1348,34.32321485,22449.9668,4276.9688
30.7197,8697.2373,26.1386,27.126,29.7695,33.59142747,22479.7363,4306.7383
29.1279,8726.3652,26.3848,27.1182,28.9141,34.58520238,22508.6504,4335.6524
29.1827,8755.5479,25.9199,27.0654,29.0293,34.44795431,22537.6797,4364.6817
30.0097,8785.5576,26.0088,26.7685,30.1836,33.13057422,22567.8633,4394.8653
28.6621,8814.2197,25.9786,26.6865,29.2578,34.17891981,22597.1211,4424.1231
29.0264,8843.2461,26.0371,26.7822,29.2656,34.16981029,22626.3867,4453.3887
30.3379,8873.584,26.3311,26.5684,29.6231,33.7574393,22656.0098,4483.0118
29.167,8902.751,26.2608,26.9609,29.1464,34.30955452,22685.1562,4512.1582
28.9277,8931.6787,26.4619,26.7256,29.2071,34.23825029,22714.3633,4541.3653
29.5322,8961.2109,25.8271,26.7159,30.0429,33.28573473,22744.4062,4571.4082
28.5762,8989.7871,26.0039,26.6504,29.0567,34.41547044,22773.4629,4600.4649
28.8916,9018.6787,26.041,26.6465,29.0742,34.39475549,22802.5371,4629.5391
29.8701,9048.5488,26.0781,26.7578,29.6016,33.78195773,22832.1387,4659.1407
28.7334,9077.2822,26.4492,26.6211,29.5488,33.84232185,22861.6875,4688.6895
29.0655,9106.3477,26.3672,26.8662,29.209,34.23602314,22890.8965,4717.8985
29.4863,9135.834,25.9932,26.7246,29.7207,33.64658302,22920.6172,4747.6192
28.7549,9164.5889,26.0127,26.6748,28.9629,34.52692928,22949.5801,4776.5821
28.8662,9193.4551,26.3457,26.7188,29.1855,34.2635898,22978.7656,4805.7676
30.3906,9223.8457,25.9483,27.3711,29.836,33.51655718,23008.6016,4835.6036
29.3047,9253.1504,26.1152,27.1758,29.5234,33.87143757,23038.125,4865.127
29.1182,9282.2686,26.2295,27.0313,29.4434,33.96346889,23067.5684,4894.5704
29.9482,9312.2168,26.0429,27.1601,30.2695,33.03655495,23097.8379,4924.8399
29.1728,9341.3896,26.2422,27.1406,28.8672,34.64139231,23126.7051,4953.7071
28.8584,9370.248,26.2735,26.7324,28.9961,34.48739658,23155.7012,4982.7032
29.9395,9400.1875,26.0293,26.7656,29.9121,33.431287,23185.6133,5012.6153
28.7754,9428.9629,26.1914,26.7031,28.8242,34.69307041,23214.4375,5041.4395
28.7881,9457.751,26.3858,26.6464,29.4609,33.94329433,23243.8984,5070.9004
29.8564,9487.6074,25.9511,26.8056,30.7891,32.47902667,23274.6875,5101.6895
29.1807,9516.7881,25.9209,27.2344,29.3301,34.09466725,23304.0176,5131.0196
29.3867,9546.1748,26.542,27.1944,29.3398,34.08339525,23333.3574,5160.3594
30.1787,9576.3535,25.8584,27.1601,30.6953,32.57827746,23364.0527,5191.0547
29.0049,9605.3584,26.1172,26.9551,29.1446,34.31167352,23393.1973,5220.1993
29.3408,9634.6992,25.9717,27.1552,28.9472,34.54565554,23422.1445,5249.1465
29.6924,9664.3916,26.2041,26.9287,30.1309,33.18852075,23452.2754,5279.2774
28.8174,9693.209,26.1172,26.7216,29.3672,34.05159498,23481.6426,5308.6446
28.8418,9722.0508,26.1163,26.6132,28.9629,34.52692928,23510.6055,5337.6075
29.7783,9751.8291,26.2627,26.6982,30.0136,33.31822907,23540.6191,5367.6211
