timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:11.960, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:12.765, Tesla T4, 0, 79 %, 175 MiB, 77.54 W
2024/01/07 18:57:12.776, Tesla T4, 1, 92 %, 173 MiB, 71.19 W
2024/01/07 18:57:12.787, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 18:57:12.791, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:13.595, Tesla T4, 0, 80 %, 175 MiB, 77.82 W
2024/01/07 18:57:13.606, Tesla T4, 1, 91 %, 173 MiB, 72.92 W
2024/01/07 18:57:13.616, Tesla T4, 2, 0 %, 9 MiB, 35.15 W
2024/01/07 18:57:13.621, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:14.425, Tesla T4, 0, 80 %, 175 MiB, 77.25 W
2024/01/07 18:57:14.437, Tesla T4, 1, 91 %, 173 MiB, 71.19 W
2024/01/07 18:57:14.446, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 18:57:14.451, Tesla T4, 3, 0 %, 9 MiB, 36.02 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:15.253, Tesla T4, 0, 82 %, 175 MiB, 76.53 W
2024/01/07 18:57:15.258, Tesla T4, 1, 92 %, 173 MiB, 72.34 W
2024/01/07 18:57:15.263, Tesla T4, 2, 0 %, 9 MiB, 35.05 W
2024/01/07 18:57:15.268, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 18:57:16.071, Tesla T4, 0, 80 %, 175 MiB, 76.53 W
