timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:50.334, Tesla T4, 0, 100 %, 287 MiB, 74.22 W
2024/01/07 19:34:50.340, Tesla T4, 1, 99 %, 285 MiB, 70.17 W
2024/01/07 19:34:50.352, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:50.357, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:51.167, Tesla T4, 0, 100 %, 287 MiB, 72.68 W
2024/01/07 19:34:51.173, Tesla T4, 1, 98 %, 285 MiB, 62.06 W
2024/01/07 19:34:51.182, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:51.186, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:51.994, Tesla T4, 0, 100 %, 287 MiB, 60.23 W
2024/01/07 19:34:52.002, Tesla T4, 1, 98 %, 285 MiB, 68.63 W
2024/01/07 19:34:52.012, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:52.017, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:52.826, Tesla T4, 0, 100 %, 287 MiB, 67.05 W
2024/01/07 19:34:52.834, Tesla T4, 1, 97 %, 285 MiB, 71.38 W
2024/01/07 19:34:52.842, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:52.846, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:53.658, Tesla T4, 0, 100 %, 287 MiB, 71.77 W
2024/01/07 19:34:53.664, Tesla T4, 1, 97 %, 285 MiB, 72.44 W
2024/01/07 19:34:53.669, Tesla T4, 2, 0 %, 9 MiB, 35.26 W
2024/01/07 19:34:53.674, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:54.482, Tesla T4, 0, 100 %, 287 MiB, 71.67 W
2024/01/07 19:34:54.492, Tesla T4, 1, 97 %, 285 MiB, 73.40 W
2024/01/07 19:34:54.501, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:54.505, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:55.315, Tesla T4, 0, 100 %, 287 MiB, 74.61 W
2024/01/07 19:34:55.322, Tesla T4, 1, 98 %, 285 MiB, 71.86 W
2024/01/07 19:34:55.327, Tesla T4, 2, 0 %, 9 MiB, 35.07 W
2024/01/07 19:34:55.331, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:56.139, Tesla T4, 0, 100 %, 287 MiB, 76.34 W
2024/01/07 19:34:56.151, Tesla T4, 1, 97 %, 285 MiB, 70.65 W
2024/01/07 19:34:56.159, Tesla T4, 2, 0 %, 9 MiB, 34.87 W
2024/01/07 19:34:56.163, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:56.971, Tesla T4, 0, 100 %, 287 MiB, 72.92 W
2024/01/07 19:34:56.984, Tesla T4, 1, 97 %, 285 MiB, 68.58 W
2024/01/07 19:34:56.989, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:56.993, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:57.800, Tesla T4, 0, 100 %, 287 MiB, 61.58 W
2024/01/07 19:34:57.811, Tesla T4, 1, 98 %, 285 MiB, 60.59 W
2024/01/07 19:34:57.817, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:34:57.821, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:58.629, Tesla T4, 0, 100 %, 287 MiB, 58.40 W
2024/01/07 19:34:58.634, Tesla T4, 1, 97 %, 285 MiB, 60.94 W
2024/01/07 19:34:58.641, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 19:34:58.645, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:34:59.454, Tesla T4, 0, 100 %, 287 MiB, 64.87 W
2024/01/07 19:34:59.459, Tesla T4, 1, 98 %, 285 MiB, 64.47 W
2024/01/07 19:34:59.464, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 19:34:59.468, Tesla T4, 3, 0 %, 9 MiB, 35.73 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:00.277, Tesla T4, 0, 100 %, 287 MiB, 65.64 W
2024/01/07 19:35:00.283, Tesla T4, 1, 96 %, 285 MiB, 66.07 W
2024/01/07 19:35:00.288, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 19:35:00.292, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:01.100, Tesla T4, 0, 100 %, 287 MiB, 68.39 W
2024/01/07 19:35:01.110, Tesla T4, 1, 97 %, 285 MiB, 66.75 W
2024/01/07 19:35:01.115, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 19:35:01.121, Tesla T4, 3, 0 %, 9 MiB, 35.92 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:01.931, Tesla T4, 0, 100 %, 287 MiB, 68.74 W
2024/01/07 19:35:01.941, Tesla T4, 1, 98 %, 285 MiB, 70.27 W
2024/01/07 19:35:01.946, Tesla T4, 2, 0 %, 9 MiB, 34.95 W
2024/01/07 19:35:01.950, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
timestamp, name, index, utilization.gpu [%], memory.used [MiB], power.draw [W]
2024/01/07 19:35:02.758, Tesla T4, 0, 100 %, 287 MiB, 70.18 W
2024/01/07 19:35:02.770, Tesla T4, 1, 98 %, 285 MiB, 70.17 W
2024/01/07 19:35:02.775, Tesla T4, 2, 0 %, 9 MiB, 34.97 W
2024/01/07 19:35:02.779, Tesla T4, 3, 0 %, 9 MiB, 35.82 W
