latency,time,GPU1,GPU2
28.5195,19907.623,25.5957,26.7305
28.3165,19935.9395,25.4805,26.545
28.1835,19964.123,25.3691,26.4785
28.3067,19992.4297,25.2051,26.5547
28.3262,20020.7559,25.2695,26.5214
28.1855,20048.9414,25.2089,26.5
28.7715,20077.7129,25.0352,26.4746
28.2226,20105.9355,25.0449,26.4589
28.2754,20134.2109,25.5684,26.5235
28.1973,20162.4082,25.4649,26.4551
28.3008,20190.709,25.3164,26.5469
28.2539,20218.9629,25.207,26.5293
28.1641,20247.127,25.2734,26.4668
28.1484,20275.2754,25.1933,26.4394
28.2695,20303.5449,25.0293,26.4746
28.2363,20331.7812,25.0137,26.4922
28.5176,20360.2988,25.0742,26.793
28.5508,20388.8496,24.9961,26.7617
28.4766,20417.3262,25.0254,26.7461
28.0625,20445.3887,25.0235,26.3359
28.1914,20473.5801,25.0762,26.3008
28.0547,20501.6348,25.0703,26.2812
28.8359,20530.4707,25.0078,27.123
28.8027,20559.2734,25.0371,27.0293
28.6368,20587.9102,25.0312,26.9063
28.4902,20616.4004,25.0742,26.7773
28.4355,20644.8359,25.086,26.6914
28.2852,20673.1211,25.1191,26.584
28.0879,20701.209,25.0196,26.3047
28.0937,20729.3027,25.0332,26.3496
28.7442,20758.0469,25.0058,27.0391
28.8105,20786.8574,25.0567,27.0058
28.8184,20815.6758,25.125,26.9023
28.3359,20844.0117,25.0215,26.7461
28.3692,20872.3809,25.0332,26.7129
28.0683,20900.4492,25.0117,26.5156
27.7852,20928.2344,25.5097,26.3164
28.6054,20956.8398,25.4648,26.3047
27.795,20984.6348,25.3984,26.3672
27.7558,21012.3906,25.2325,26.3398
27.8145,21040.2051,25.2558,26.3164
28.459,21068.6641,25.1699,27.0254
28.4804,21097.1445,24.9961,26.9609
28.6485,21125.793,25,26.875
28.4882,21154.2812,25.0684,26.7812
28.4805,21182.7617,25.1426,26.7579
28.2617,21211.0234,25.0234,26.5586
28.0215,21239.0449,25.0058,26.2734
28.1367,21267.1816,25.0391,26.3828
28.6758,21295.8574,25,26.9747
28.6875,21324.5449,25.0195,26.9492
28.5274,21353.0723,25.0722,26.8125
28.4668,21381.5391,24.9863,26.8047
28.5175,21410.0566,25.1875,26.791
29.9278,21439.9844,25.0488,26.5468
27.9355,21467.9199,25.0839,26.2753
27.7539,21495.6738,25.0957,26.2793
27.7969,21523.4707,24.9903,26.3145
28.3828,21551.8535,25.0254,26.8379
28.4766,21580.3301,25.0273,27
28.4023,21608.7324,25.082,26.9395
28.2168,21636.9492,25.0547,26.75
28.3067,21665.2559,25.1133,26.8262
28.1347,21693.3906,25.1152,26.6016
27.7461,21721.1367,25.0137,26.2617
27.8145,21748.9512,25.0508,26.3184
28.4355,21777.3867,25.4218,26.92
28.6387,21806.0254,25.4512,27.1152
28.3828,21834.4082,25.3906,26.918
28.3379,21862.7461,25.2285,26.8183
28.2012,21890.9473,25.2207,26.75
