latency,time,GPU1,GPU2,fps,time_rel,,
28.1924,14000.1494,25.6338,26.7412,35.47055235,10663.6455,,
28.2481,14028.3975,25.4903,26.8125,35.40061101,10691.8936,,
28.1425,14056.54,25.7109,26.6816,35.53344586,10720.0361,,
28.0362,14084.5762,25.6123,26.5889,35.66817186,10748.0723,,
27.874,14112.4502,25.748,26.4668,35.87572648,10775.9463,,
27.8643,14140.3145,25.5068,26.4219,35.88821539,10803.8106,,
27.9335,14168.248,25.4375,26.4697,35.79930907,10831.7441,,
28.21,14196.458,25.8916,26.7842,35.44842255,10859.9541,,
28.2295,14224.6875,25.7852,26.7744,35.42393595,10888.1836,,
28.2275,14252.915,25.7002,26.8125,35.42644584,10916.4111,,
28.0645,14280.9795,25.7295,26.6103,35.63220439,10944.4756,,
28.1777,14309.1572,25.4502,26.6992,35.48905695,10972.6533,,
28.252,14337.4092,25.541,26.6817,35.3957242,11000.9053,,
28.0556,14365.4648,25.4463,26.3711,35.64350789,11028.9609,,
27.6163,14393.0811,25.4248,26.0879,36.21049887,11056.5772,,
28.1591,14421.2402,25.6318,26.6875,35.51249862,11084.7363,,
28.3135,14449.5537,25.709,26.7851,35.31884084,11113.0498,,
28.1553,14477.709,25.6319,26.705,35.51729159,11141.2051,,
28.0869,14505.7959,25.3672,26.585,35.60378682,11169.292,,
27.9844,14533.7803,25.4423,26.4863,35.73419477,11197.2764,,
27.9726,14561.7529,25.4746,26.4747,35.74926893,11225.249,,
28.169,14589.9219,25.458,26.6826,35.50001775,11253.418,,
28.376,14618.2979,25.3388,26.8633,35.24104877,11281.794,,
28,14646.2979,25.8291,26.5459,35.71428571,11309.794,,
28.0712,14674.3691,25.752,26.4716,35.62369973,11337.8652,,
28.1407,14702.5098,25.7227,26.541,35.53571873,11366.0059,,
27.9492,14730.459,25.5713,26.3964,35.7791994,11393.9551,,
27.7402,14758.1992,25.4707,26.2627,36.04876677,11421.6953,,
28.3653,14786.5645,25.7666,26.833,35.25434245,11450.0606,,
28.2978,14814.8623,25.6104,26.8359,35.3384362,11478.3584,,
28.2803,14843.1426,25.6045,26.7832,35.36030382,11506.6387,,
28.0791,14871.2217,25.6279,26.5791,35.61367708,11534.7178,,
27.9756,14899.1973,25.3516,26.4814,35.74543531,11562.6934,,
27.9765,14927.1738,25.292,26.4921,35.74428538,11590.6699,,
28.2139,14955.3877,25.5088,26.7461,35.44352252,11618.8838,,
28.2422,14983.6299,25.3935,26.79,35.40800646,11647.126,,
28.1963,15011.8262,25.7002,26.6475,35.4656462,11675.3223,,
28.1748,15040.001,25.6621,26.541,35.4927098,11703.4971,,
28.1015,15068.1025,25.4219,26.5537,35.58528904,11731.5986,,
27.9043,15096.0068,25.5986,26.3526,35.83677068,11759.5029,,
28.3164,15124.3232,25.7432,26.8164,35.31522369,11787.8193,,
28.2754,15152.5986,25.6768,26.7968,35.3664316,11816.0947,,
28.3428,15180.9414,25.4864,26.8525,35.2823292,11844.4375,,
28.2236,15209.165,25.4277,26.6933,35.43134115,11872.6611,,
28.0528,15237.2178,25.4941,26.5947,35.64706553,11900.7139,,
28.2861,15265.5039,25.4326,26.7852,35.35305327,11929,,
28.1426,15293.6465,25.4511,26.6943,35.53331959,11957.1426,,
28.2568,15321.9033,25.7695,26.7275,35.3897115,11985.3994,,
27.9356,15349.8389,25.6787,26.4854,35.79661794,12013.335,,
28.0761,15377.915,25.6641,26.6065,35.61748249,12041.4111,,
28.0547,15405.9697,25.669,26.5527,35.64465134,12069.4658,,
27.8496,15433.8193,25.5,26.3379,35.90715845,12097.3154,,
27.7871,15461.6064,25.5674,26.3496,35.98792245,12125.1025,,
28.5293,15490.1357,25.7216,27.0732,35.05168371,12153.6318,,
28.2227,15518.3584,25.6026,26.7891,35.43247103,12181.8545,,
28.2812,15546.6396,25.3536,26.7695,35.35917854,12210.1357,,
28.2178,15574.8574,25.3848,26.7265,35.43862385,12238.3535,,
28.7315,15603.5889,25.5068,26.5879,34.80500496,12267.085,,
27.9043,15631.4932,25.4639,26.4121,35.83677068,12294.9893,,
28.0654,15659.5586,25.3115,26.5527,35.63106173,12323.0547,,
27.5889,15687.1475,25.7187,26.1016,36.24646144,12350.6436,,
28.5586,15715.7061,25.627,27.0635,35.01572206,12379.2022,,
28.2871,15743.9932,25.5899,26.7431,35.35180347,12407.4893,,
28.206,15772.1992,25.6709,26.7373,35.45344962,12435.6953,,
28.1953,15800.3945,25.3828,26.7002,35.46690406,12463.8906,,
28.1006,15828.4951,25.4404,26.5576,35.58642876,12491.9912,,
28.3408,15856.8359,25.4981,26.7959,35.28481906,12520.332,,
28.2217,15885.0576,25.3926,26.7861,35.43372653,12548.5537,,
28.1387,15913.1963,25.7422,26.6338,35.53824448,12576.6924,,
27.9482,15941.1445,25.7187,26.4648,35.7804796,12604.6406,,
28.1143,15969.2588,25.6924,26.6328,35.56908762,12632.7549,,
