latency,time,GPU1,GPU2
27.2637,15078.8662,25.918,25.6553
27.8877,15106.7539,26.0342,26.2832
27.9502,15134.7041,26.0322,26.3154
27.7695,15162.4736,26.0596,26.1543
27.794,15190.2676,26.124,26.1387
28.3027,15218.5703,26.9033,25.0303
28.1494,15246.7197,26.7715,24.8516
28.2022,15274.9219,26.8847,24.7032
28.0869,15303.0088,26.8349,24.6601
28.2724,15331.2812,26.9522,24.6485
28.2344,15359.5156,26.8779,24.6035
28.0928,15387.6084,26.7705,24.5957
28.1562,15415.7646,26.8291,24.5733
28.1368,15443.9014,26.8222,24.7002
28.1308,15472.0322,26.7764,24.5772
28.1367,15500.1689,26.8085,24.6718
29.6495,15529.8184,26.752,24.6075
28.1357,15557.9541,26.8184,24.7901
28.3008,15586.2549,26.9355,24.6787
28.1533,15614.4082,26.7784,24.5996
28.1338,15642.542,26.7656,24.5821
28.1074,15670.6494,26.7696,24.6045
28.1475,15698.7969,26.75,24.6006
28.5888,15727.3857,26.7724,24.6582
28.2276,15755.6133,26.8399,24.7295
29.1787,15784.792,26.7441,24.7002
28.2637,15813.0557,26.8291,24.6044
27.2627,15840.3184,25.9355,25.582
27.3076,15867.626,25.9804,25.6914
27.2959,15894.9219,25.9453,25.6983
27.9785,15922.9004,25.9619,26.375
27.9814,15950.8818,25.8828,26.3222
27.7725,15978.6543,25.8515,26.1904
27.707,16006.3613,26.0137,26.1093
27.6299,16033.9912,25.9941,26.0264
27.4346,16061.4258,25.915,25.8115
27.7988,16089.2246,25.9424,26.1983
27.8731,16117.0977,25.8799,26.2373
27.8447,16144.9424,25.8701,26.209
27.833,16172.7754,26.0644,26.2226
27.6533,16200.4287,26.1855,26.0605
27.5899,16228.0186,26.0615,25.957
27.455,16255.4736,26.0879,25.5518
28.211,16283.6846,26.0996,26.3809
27.9463,16311.6309,25.9199,26.3027
27.8418,16339.4727,26.0674,26.2393
27.624,16367.0967,26.0537,26.0576
27.6572,16394.7539,26.0761,25.9473
28.502,16423.2559,24.9785,26.8574
28.2656,16451.5215,24.9433,26.6445
28.1719,16479.6934,24.8964,26.5742
28.9218,16508.6152,24.9199,27.3027
28.8926,16537.5078,25.1074,27.2911
