latency,time,GPU1,GPU2,GPU3,GPU4,fps,time_rel,,,,,,,,,
16.0693,14775.9443,13.0967,12.5254,12.6963,14.0859,62.2304643,1367.2968,,15.7583,6881.7158,13.0596,12.4815,12.7134,13.9111,63.45862181,1322.9424
16.2071,14792.1514,13.1914,12.5576,12.7822,14.1269,61.70135311,1383.5039,,15.9986,6897.7144,13.0849,12.4941,12.6782,14.1572,62.50546923,1338.941
16.3066,14808.458,13.0508,12.4913,12.7353,14.1592,61.32486233,1399.8105,,16.0717,6913.7861,13.2016,12.4292,12.6929,14.1944,62.22117138,1355.0127
16.1514,14824.6094,13.0684,12.5889,12.6748,14.1006,61.91413747,1415.9619,,16.1133,6929.8994,13.0479,12.4936,12.6997,14.1631,62.06053384,1371.126
16.1972,14840.8066,13.0683,12.5479,12.6777,14.1143,61.73906601,1432.1591,,15.9072,6945.8066,13.0493,12.5063,12.7676,14.1621,62.86461477,1387.0332
16.0977,14856.9043,13.0889,12.5303,12.8379,14.1377,62.12067562,1448.2568,,16.0992,6961.9058,13.0791,12.4502,12.7119,14.1934,62.1148877,1403.1324
16.04,14872.9443,13.1494,12.6094,12.7246,14.0693,62.34413965,1464.2968,,16.0962,6978.002,13.1386,12.4546,12.7392,14.2133,62.12646463,1419.2286
16.1836,14889.1279,13.0488,12.5918,12.752,14.1465,61.79094886,1480.4804,,15.9575,6993.9595,13.062,12.4761,12.6064,14.1309,62.66645778,1435.1861
16.8604,14905.9883,13.0449,12.585,12.7041,14.0009,59.31057389,1497.3408,,16.834,7010.7935,13.1519,12.4849,12.7149,14.1445,59.40358798,1452.0201
16.0449,14922.0332,13.0293,12.5488,12.8203,13.9375,62.32510019,1513.3857,,16.1523,7026.9458,13.1191,12.4302,12.7793,14.102,61.91068764,1468.1724
16.9004,14938.9336,13.0283,12.5429,12.7373,13.9609,59.17019716,1530.2861,,15.8354,7042.7812,13.0571,12.479,12.7915,14.0279,63.14965205,1484.0078
15.9014,14954.835,13.1182,12.5547,12.7128,13.8936,62.88754449,1546.1875,,16.9092,7059.6904,13.0425,12.4766,12.705,13.9897,59.1394034,1500.917
15.8037,14970.6387,13.1289,12.5703,12.7539,13.8496,63.27632137,1561.9912,,15.9273,7075.6177,13.0395,12.3892,12.7656,14.0205,62.78528062,1516.8443
16.3418,14986.9805,13.1768,12.5899,12.6679,14.2129,61.19276946,1578.333,,15.9326,7091.5503,13.0893,12.5039,12.8135,13.9292,62.76439501,1532.7769
17.6806,15004.6611,13.1142,12.5411,12.6709,14.1416,56.55916654,1596.0136,,15.8506,7107.4009,13.0215,12.4174,12.7632,13.9179,63.08909442,1548.6275
16.7891,15021.4502,13.0596,12.5225,12.6972,14.1368,59.56245421,1612.8027,,18.0747,7125.4756,13.1254,12.4688,12.792,14.2148,55.32595285,1566.7022
16.0693,15037.5195,13.1719,12.5977,12.6484,14.1387,62.2304643,1628.872,,17.1435,7142.6191,13.0879,12.4707,12.8471,14.207,58.33114592,1583.8457
16.086,15053.6055,13.0332,12.5792,12.711,14.1015,62.16585851,1644.958,,16.5957,7159.2148,13.1176,12.4204,12.7871,14.1157,60.25657249,1600.4414
